Player,Conference,Team,Position,offenseDefense,Salary,Bonus,Total
Ethan Albright,AFC,Bills,OL,Offense,500000,83900,583900
Victor Allotey,AFC,Bills,OL,Offense,358000,16000,374000
Avion Black,AFC,Bills,WR,Offense,193000,85300,278300
Ruben Brown,AFC,Bills,OL,Offense,440000,1000600,1440600
Shawn Bryson,AFC,Bills,RB,Offense,250000,118900,368900
Jon Carman,AFC,Bills,OL,Offense,193000,2500,195500
Keion Carpenter,AFC,Bills,S,Defense,275000,5200,280200
Kwame Cavil,AFC,Bills,WR,Offense,193000,1500,194500
Steve Christie,AFC,Bills,P/K,Offense,450000,625000,1075000
Bobby Collins,AFC,Bills,TE,Offense,275000,82200,357200
Billy Conaty,AFC,Bills,OL,Offense,385000,900,385900
Sam Cowart,AFC,Bills,LB,Defense,438000,225900,663900
John Fina,AFC,Bills,OL,Offense,440000,4138200,4578200
Erik Flowers,AFC,Bills,DE,Defense,400000,530000,930000
Doug Flutie,AFC,Bills,QB,Offense,440000,2353900,2793900
Jay Foreman,AFC,Bills,LB,Defense,275000,33800,308800
Donovan Greer,AFC,Bills,CB,Defense,472000,2600,474600
Phil Hansen,AFC,Bills,DE,Defense,440000,1656500,2096500
Robert Hicks,AFC,Bills,OL,Offense,358000,135900,493900
Raion Hill,AFC,Bills,S,Defense,193000,3800,196800
John Holecek,AFC,Bills,LB,Defense,440000,1583500,2023500
Ken Irvin,AFC,Bills,CB,Defense,440000,1423400,1863400
Courtney Jackson,AFC,Bills,CB,Defense,111000,500,111500
Sheldon Jackson,AFC,Bills,TE,Offense,275000,12200,287200
Rob Johnson,AFC,Bills,QB,Offense,440000,3314400,3754400
Fred Jones,AFC,Bills,LB,Defense,193000,1300,194300
Henry Jones,AFC,Bills,S,Defense,440000,1855600,2295600
Leif Larsen,AFC,Bills,DT,Defense,193000,17000,210000
Jonathan Linton,AFC,Bills,RB,Offense,358000,38500,396500
Jeremy McDaniel,AFC,Bills,WR,Offense,250000,3200,253200
Chris Mohr,AFC,Bills,P/K,Offense,450000,200300,650300
Corey Moore,AFC,Bills,LB,Defense,193000,125000,318000
Sammy Morris,AFC,Bills,RB,Offense,193000,33300,226300
Eric Moulds,AFC,Bills,WR,Offense,950800,542900,1493700
Jamie Nails,AFC,Bills,OL,Offense,472000,1700,473700
Keith Newman,AFC,Bills,LB,Defense,275000,84100,359100
